Product Name,Price,Original Prices,Discount rates
SAVYA HOME Wood Portable Laptop Table,"1,090","2,500",56% off
Flipkart SmartBuy Plastic Kitchen Cabinet,"2,090","2,999",30% off
SleepX BRILL 5 inch Double PU Foam Mattress,"6,890","7,333",6% off
Flipkart Perfect Homes Rhea 4 inch Queen PU Foam Mattre...,"5,186","11,499",54% off
Home Full Alan Engineered Wood Open Book Shelf,"3,990","6,499",38% off
Snazzy Wood Portable Laptop Table,"1,249","1,999",37% off
Ebee Metal Collapsible Shoe Stand,799,"2,499",68% off
Ebee Metal Shoe Stand,425,699,39% off
Flipkart SmartBuy FK2377 Full Motion TV Mount,"1,499","3,799",60% off
Flipkart Perfect Homes Rhea 4 inch Single PU Foam Mattr...,"3,334","6,699",50% off
Sasimo 1-Door 6-Shelf Fabric Metal Collapsible Shoe Sta...,999,"4,899",79% off
Cello Oscar Center Table (Beige)  Plastic Coffee Table,"1,150","1,275",9% off
Ebee Plastic Shoe Stand,249,999,75% off
NapCloud SmartNap 4 inch King High Resilience (HR) Foam...,"9,749","12,999",25% off
Porchex Metal Collapsible Shoe Stand,799,"4,999",84% off
"ROQ LED LCD PLASMA TV Wall Mount 10"" to 26"" Movable wit...",199,999,80% off
FurnCentral 2 Door PP (Polypropylene) Collapsible Wardr...,"1,738","4,000",56% off
HomeBliss 14 to 32 Inch Fixed Wall Mount TV Stand Fixed...,131,399,67% off
Flipkart Perfect Homes Engineered Wood TV Entertainment...,"13,490","14,000",3% off
NapCloud ZipNap 6 inch Double Memory Foam Mattress,"11,249","14,999",25% off
Gymfy COLLAPSIBLE SHOE STAND Plastic Collapsible Shoe S...,999,"5,999",83% off
Totsy Child Craft 6 Shelves Wardrobe Cotton Collapsible...,"1,299","2,199",40% off
Health Track Walker,999,"1,899",47% off
NapCloud ZipNap 6 inch Single Memory Foam Mattress,"10,499","13,999",25% off
Furn Central Engineered Wood Study Table,"6,790","7,999",15% off
"Skora High Quality , Imported , Round Shape Purple-Blac...","1,099","2,210",50% off
Flipkart SmartBuy 6 + 2 Shelves 3 door 88130 Maroon Car...,"1,625","2,499",34% off
Crystal Furnitech Botwin Engineered Wood Study Table,"7,090","9,777",27% off
"DazzelOn TV Wall Mount Bracket for Most 26-55 Inch LED,...","1,990","3,590",44% off
NapCloud ZipNap Plus 8 inch Queen Memory Foam Mattress,"14,624","19,499",25% off
SleepX Dual Medium Soft & Hard 5 inch Single Bonded Foa...,"5,990","6,500",7% off
Furn Central Engineered Wood Study Table,"7,690","8,999",14% off
TidyHomz Wood Portable Laptop Table,"1,199","1,900",36% off
NapCloud ZipNap 6 inch King Memory Foam Mattress,"14,999","19,999",25% off
Flipkart Perfect Homes Stemar Engineered Wood Shoe Rack,"7,790","13,499",42% off
Flipkart Perfect Homes Cole Small Shoe Rack,"4,190","5,099",17% off
KITCHEN INDIA Foldable 4 layer Shoe Rack Plastic Collap...,270,590,54% off
