Product Name,Price,Original Prices,Discount rates
"Healthkart Organic Apple Cider Vinegar, Unflavoured Vin...",349,670,47% off
Pintola Classic Peanut Butter (Crunchy) 1 kg,319,349,8% off
Kitchens of India Chicken Chettinad 570 g,371,390,4% off
MTR Special Garam Masala,50,NaN,Nan
Chana Dal,105,130,19% off
Yogabar Wholegrain Breakfast Muesli+ - Dark Chocolate +...,260,299,13% off
India Gate Mogra Basmati Rice (Broken Grain),328,380,13% off
"Godhan anmall Gir cow's premium Ghee, 1 ltr 1 L Glass B...","1,685","2,500",32% off
Happilo Premium International Omani Dates,140,175,20% off
Parle Namkeen Aloo Bhujia,84,88,4% off
Saffola Tasty Pro Fitness Conscious Blended Oil Pouch,114,120,5% off
Balance Natural Diabetic & Keto friendly Sugar Free Swe...,149,200,25% off
Emami Healthy and Tasty Refined Soyabean Oil Pouch,114,125,8% off
Ching's Secret Hot Garlic Instant Noodles Vegetarian,53,60,11% off
Rajdhani Kabuli Chana (Whole),125,145,13% off
Wnature Organic Roasted Arabica Coffee beans 1kg-100% P...,650,700,7% off
Saffola Gold Blended Oil Pouch,576,636,9% off
Saffola Active Blended Oil Pouch,520,580,10% off
MTR Jeera Powder,54,55,1% off
Lipton Tulsi Natura Green Tea Bags Box,131,150,12% off
Flipkart Supermart Select Unpolished Toor Dal (Split),136,170,20% off
Colavita (Hard Durum Wheat) Farfalle Pasta,285,290,1% off
Flipkart Supermart Select Unpolished Chana Dal,105,140,25% off
Dexolac Infant Formula Powder (Stage 1),304,NaN,Nan
NAGO Natural Goodness Red Rajma (Whole),200,NaN,Nan
Tang Orange Instant Drink Mix,182,210,13% off
Easum Rice and Moog Dal Baby Cereal,240,NaN,Nan
Emami Healthy & Tasty Refined Sunflower Oil Pouch,116,130,10% off
Ghasitaram Gifts Cashews Dryfruits-Goan Cashews 800 gms...,"1,075","1,350",20% off
SUN'A'DO Cashew Roasted & Salted - 200g Cashews,387,399,3% off
"VegeBaby 100% Natural, Cold-Pressed, unrefined, Extra v...",500,NaN,Nan
Tang Mango Instant Drink Mix,199,210,5% off
VegeBaby 100%Natural Cold Pressed Extra Virgin Yellow M...,509,NaN,Nan
FARMUP SoyaFlour : 1 KG + Jowar Flour : 1 KG,520,700,25% off
Alpino Natural Smooth Peanut Butter (Unsweetened) 1 kg,359,425,15% off
"Tang Orange Instant Drink Mix, 500g(Each)",264,270,2% off
Kitchens of India Rajma Masala and Vegetable Pulao 785 ...,257,270,4% off
"VegeBaby Cold Pressed, 100% Organic Apricot Oil Plastic...",350,NaN,Nan
Markstor Ajwa Al-Saudi Dates,"1,490","2,000",25% off
Jaiccha Goan Cashews 200 gms in Black Paper Pouch Cashe...,351,451,22% off
Neuherbs Raw Pumpkin Seeds - Protein and Fiber Rich Sup...,199,280,28% off
Pintola Classic Peanut Butter (Crunchy) 1 kg,319,349,8% off
Nestle Cerelac Wheat Honey Dates Cereal,242,NaN,Nan
FARMUP Maida 1Kg | Pure and Natural | Premium Quality,270,499,45% off
MYFITNESS Smooth Peanut Butter 510 g,299,320,6% off
NutrineLife With the Mother Vinegar,499,899,44% off
Wonderland Foods Premium Quality California Almonds,599,900,33% off
Kitchens of India Mutter Paneer and Vegetable Pulao 785...,266,280,5% off
"VegeBaby Cold Pressed, 100% Virgin Organic Vegetable Oi...",475,NaN,Nan
"Healthkart Apple Cider Vinegar with Mother, Unflavoured...",275,525,47% off
Kohinoor Charminar Rice (Long Grain),382,449,14% off
Balance Natural Diabetic & Keto friendly Sugar Free Swe...,149,200,25% off
"Fortune Everyday Hamesha Basmati Rice (Broken Grain, St...",336,425,20% off
VegeBaby 100%Natural Cold Pressed Extra Virgin Black Mu...,500,NaN,Nan
Dhara Refined Sunflower Oil Pouch,116,125,7% off
Wnature Organic Roasted Arabica Coffee beans 1kg-100% P...,650,700,7% off
SUN'A'DO Afghani Seedless Green Raisins - 200g Raisins,290,299,3% off
Urban Organic Unpolished White Urad Dal (Split),225,299,24% off
"Jaiccha Almonds and Cashew Pouches-200 gms Almonds, Cas...",330,425,22% off
"Midiron Pumpkin Seeds (250 gm), Rich in Zinc & Powerhou...",309,350,11% off
Delight Nuts Cashew Roasted & Salted 200g Cashews,387,399,3% off
Yogabar Wholegrain Breakfast Muesli+ - Dark Chocolate +...,260,299,13% off
Disano Canola Oil Plastic Bottle,191,425,55% off
Wonderland Foods(Device) 100% Natural Premium Quality P...,"1,099","1,600",31% off
Happilo Premium International Trail Mix,292,365,20% off
Tang Orange Instant Drink Mix,182,210,13% off
Bertolli Mild Taste Olive Oil Plastic Bottle,799,"1,225",34% off
Markstor Sukkary Dates - Wet and Fresh with Natural Swe...,575,650,11% off
"SUN'A'DO Mixed Nuts (Almonds, Cashew & Pistachios) Roas...",387,399,3% off
AS-IT-IS Nutrition Raw Apple Cider Vinegar with mother ...,263,356,26% off
Pintola Classic Peanut Creamy Butter 2.5 kg,726,790,8% off
Tang Mango Instant Drink Mix,199,210,5% off
Naturewell Red Rajma (Whole),209,299,30% off
Happilo Premium Roasted and Salted California Pistachio...,356,395,9% off
Cadbury Shots Truffles,280,NaN,Nan
"Tang Orange Instant Drink Mix, 500g(Each)",264,270,2% off
"organic forest 5 In 1 Roasted Super Seeds Mix, 500gm Pr...",395,438,9% off
Happilo Premium Roasted and Salted Cashew Nuts,316,395,20% off
FARMUP Cashew Nut 250 gm + Almond 250 gm | Premium Qual...,850,"1,000",15% off
FARMUP Polished Yellow Moong Dal (Whole),340,499,31% off
SUN'A'DO California Almonds Roasted & Salted - 200g Alm...,364,375,2% off
Pintola Classic Peanut Butter (Crunchy) 1 kg,319,349,8% off
"Happilo Premium American Dried Whole Duet Blueberry, Cr...",328,380,13% off
Rajdhani Unpolished Arhar Dal (Split),164,220,25% off
