Product Name,Price,Original Prices,Discount rates
Pampers Pants Diapers Monthly Box Pack New - M,"1,679","2,099",20% off
"Mamaearth Talc Free Organic Dusting Powder for Babies, ...",183,199,8% off
Nestle Cerelac Wheat Orange Cereal,231,NaN,Nan
MamyPoko Pants Extra Absorb Diapers - XL,"2,371","2,790",15% off
Pampers Baby-Dry Pants Diaper - M,873,"1,049",16% off
Nestle Nan Excella Pro Follow-up Formula-powder (Stage ...,710,NaN,Nan
LuvLap Hippo Spout 225ml,191,265,27% off
Fashion Huts Nylon Infants Baby Bedding with Mosquitoes...,274,400,31% off
Himalaya Gentle Baby Laundry Wash 1 Ltr (Bottle) Liquid...,346,495,30% off
LWF 12 Piece Chu Chu Bath Toy Animal Shape BPA Free 100...,299,999,70% off
Pampers Baby-Dry Pants Diaper - L,891,"1,099",18% off
Naughty Kidz Star Shaped Baby Food Feeder||Fruit Feeder...,189,500,62% off
Pigeon Strawberry Children Toothpaste,140,165,15% off
MamyPoko Pants Extra Absorb Diapers - XL,"1,492","1,699",12% off
Pampers Baby-Dry Pants Diaper - New Born,891,"1,049",15% off
"Pampers New Diapers Pants, Medium, 28 Count - M",375,399,6% off
Himalaya Soothing Baby Wipes,165,184,10% off
Himalaya Extra Moisturizing baby wash 200 ml,142,150,5% off
MMShopy Fruit and Food Nibbler & Feeding Pacifier DD Fe...,188,499,62% off
Sebamed Baby Wash Extra Soft 400ml,820,850,3% off
"Mamaearth Complete Baby Care Kit with Baby Lotion, Sham...",979,"1,195",18% off
"Pampers Premium Care Super Value box pack, Large (Pack ...","2,519","3,149",20% off
Sebamed kids Cleansing bar for delicate skin - Pack of ...,255,265,3% off
Himalaya Gentle Baby Laundry Wash 1 Ltr (Pouch) Liquid ...,297,425,30% off
Pampers Active Baby Diapers - New Born,972,999,2% off
SSS - Automatic Toothpaste Dispenser with 5 Toothbrush ...,199,399,50% off
LuvLap Liquid cleanser bottle 1.5 ltr,434,669,35% off
LuvLap Breast Pump  - Manual,599,799,25% off
Huggies Dry pants- Medium - M,"1,217","1,580",22% off
Himalaya Babycare Gift Pack of 4,185,195,5% off
Pampers Baby-Dry Pants Diaper - S,934,"1,099",15% off
Nestle Nan Excella Pro Infant Formula Powder (Stage 1),730,NaN,Nan
Billion Extra Absorb Diaper Pants - M,219,260,15% off
Nestle Nan Pro 1 Infant Formula Powder,599,NaN,Nan
Pampers Baby-Dry Pants Diaper - M,618,699,11% off
Himalaya Refreshing Baby Wash,80,85,5% off
Beautiq Baby Collections Complete Stainless Steel Feedi...,400,NaN,Nan
"kakustore Baby Crawling Anti-Slip Knee, Unisex Baby Tod...",175,999,82% off
Johnson's Baby Oil with Vitamin E,105,NaN,Nan
Johnson's Active Kids Clean & Fresh Shampoo Baby Boys &...,99,100,1% off
Pampers Pants Diapers Monthly Box Pack New - M,"1,679","2,099",20% off
Himalaya Total Care Baby Pants - L,361,425,15% off
Huggies Wonder pants - S,"1,154","1,499",23% off
MamyPoko Pants Extra Absorb Diapers - S,463,499,7% off
Pampers Baby-Dry Pants Diaper - M,873,"1,049",16% off
"Pigeon COTTON BALLS, 100PCS/PACK PSH",167,195,14% off
Billion Extra Absorb Diaper Pants - S,219,260,15% off
Miss & Chief Bed Protector Sheet- Waterproof & Reusable,175,399,56% off
Fareto Baby Hosiery Single Layer Cotton Cloth Tying Kno...,350,999,64% off
MamyPoko Wipes with Green Tea Essence,294,320,8% off
Pampers Baby-Dry Pants Diaper - L,891,"1,099",18% off
MamyPoko Pants Extra Absorb Diapers - S,"1,349","1,499",10% off
MamyPoko Pants Extra Absorb Diapers - New Born,99,NaN,Nan
MamyPoko Pants Extra Absorb Diapers - S,955,999,4% off
Pampers Baby-Dry Pants Diaper - New Born,891,"1,049",15% off
LuvLap Pizza Pie design Silicone Teether Teether,205,249,17% off
